"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.875000000E0,-1.590693116E0,9.957103133E-1,-9.162978828E-2
8.899996875E0,-1.577254057E0,1.055575132E0,-1.441641897E-1
8.920018750E0,-1.694540143E0,9.077457190E-1,-2.223549485E-1
8.944982812E0,-1.671327233E0,6.243042946E-1,-2.333505154E-1
8.965006250E0,-1.623679757E0,3.995058537E-1,-1.747074574E-1
8.990018750E0,-1.839926124E0,2.614503205E-1,-8.674286306E-2
9.014998437E0,-1.935221076E0,-1.221730490E-3,-6.352998316E-2
9.039995312E0,-1.628566742E0,6.597344279E-1,1.588249579E-2
9.064992187E0,-1.232726097E0,1.034805655E0,2.993239760E-1
9.089989062E0,-1.015258074E0,7.855727077E-1,3.481931984E-1
9.114984375E0,-8.600982428E-1,-1.722639948E-1,2.858849168E-1
